A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,Price
6,1.33,1.64,0.88,0.0,3.11,0.0,2.41,good,1.56
27,2.0,0.67,0.0,2.65,0.0,0.37,0.0,bad,0.87
28,1.45,1.66,0.0,1.71,0.0,0.0,0.0,bad,0.96
43,0.81,0.75,0.18,1.45,0.0,0.0,0.18,bad,0.57
44,3.93,2.75,0.0,1.43,0.09,1.1,2.63,good,1.77
59,0.83,0.45,0.0,0.0,2.83,0.0,1.05,good,0.87
76,2.25,1.31,0.0,0.0,1.54,2.32,0.17,good,1.15
77,0.91,0.24,0.0,0.41,0.78,0.0,0.27,bad,0.45
89,1.29,0.12,0.0,1.25,0.42,0.27,0.06,bad,0.5
90,0.52,0.64,0.0,1.27,0.71,1.04,0.0,good,0.56
131,1.74,1.63,0.0,2.76,0.0,0.0,2.06,good,1.11
139,0.03,0.56,0.38,1.31,0.32,0.44,0.0,good,0.45
148,1.46,1.89,0.0,0.0,0.51,0.23,3.39,good,0.96
152,0.19,1.36,0.0,0.0,0.0,2.74,0.0,good,0.45
161,3.26,0.98,0.0,6.3,0.0,0.0,3.5,bad,1.58
217,1.57,0.87,0.0,0.0,1.77,0.0,2.68,good,0.93
221,1.76,1.69,0.0,0.0,0.0,1.42,0.84,good,0.86
255,1.22,0.45,0.0,2.84,0.0,0.0,0.34,good,0.66
260,1.86,0.57,0.0,0.0,0.0,3.53,0.0,good,0.54
265,0.78,0.75,0.0,0.25,1.19,0.0,1.34,bad,0.64
269,0.47,0.29,1.32,4.68,0.0,0.0,2.19,bad,0.91
289,0.49,0.38,0.0,0.51,0.0,2.3,0.43,bad,0.26
301,0.66,0.66,0.0,2.12,0.56,0.0,1.33,good,0.65
310,1.65,1.89,1.24,0.77,3.4,0.0,6.01,good,1.9
331,2.66,0.5,0.0,0.0,0.0,2.67,3.1,good,0.68
332,0.6,0.08,0.0,0.8,1.38,0.0,3.45,bad,0.5
341,2.86,0.66,0.0,2.48,0.0,2.49,0.0,good,1.02
348,1.77,0.77,0.65,0.67,0.0,0.0,2.65,good,0.78
357,1.04,1.36,1.4,2.64,0.0,0.0,3.44,bad,1.16
402,1.32,1.72,0.0,0.0,0.0,0.24,0.15,good,0.78
406,1.11,0.03,1.01,0.0,3.02,0.0,3.41,good,1.04
414,0.31,0.23,0.0,1.55,0.0,0.51,0.39,bad,0.29
416,0.28,2.01,0.0,0.63,0.0,0.0,1.28,good,0.72
417,3.85,2.17,1.59,0.75,1.43,0.0,5.0,good,2.1
430,0.16,0.42,0.0,2.74,0.0,2.34,1.98,bad,0.43
434,1.22,0.3,0.0,0.97,0.82,0.0,0.0,bad,0.6
436,1.38,0.73,0.0,1.64,3.02,0.0,3.56,good,1.26
443,0.22,0.38,0.0,2.32,1.96,0.08,0.03,good,0.78
444,0.49,1.96,1.44,0.0,0.95,0.0,3.5,good,1.16
472,0.44,1.6,0.0,1.33,0.0,0.0,0.0,good,0.7
474,1.73,1.79,0.0,0.16,0.19,0.0,2.31,good,0.94
489,0.77,1.54,0.0,1.44,0.28,0.87,1.95,bad,0.82
493,0.19,0.12,0.0,0.74,0.5,0.0,0.0,good,0.25
500,1.67,2.7,0.35,0.11,2.07,0.0,3.6,good,1.64
514,0.87,0.87,0.0,1.18,0.25,0.0,0.0,bad,0.6
521,0.28,0.13,0.0,0.0,0.0,1.27,0.0,bad,0.1
522,1.83,0.84,0.0,0.0,1.66,1.47,2.91,good,0.95
525,1.64,0.1,1.4,3.3,0.0,0.0,2.81,bad,0.97
528,0.06,0.39,0.0,2.4,0.77,1.01,0.68,good,0.52
570,3.96,0.44,0.0,0.0,4.34,0.65,4.86,good,1.79
571,0.24,0.74,0.0,0.0,1.78,0.19,0.0,bad,0.63
575,1.83,2.21,2.04,0.0,0.36,0.0,5.09,good,1.51
577,0.47,0.16,0.0,0.0,2.24,0.07,0.0,bad,0.59
592,3.2,0.96,0.0,0.75,0.0,0.45,2.58,good,1.0
598,0.08,0.31,2.1,1.28,1.43,0.0,1.05,bad,0.94
